,mean,sd,2.50%,97.50%,Rhat
Nsite.small[51],3.455222222,1.091500073,2,6,1.000788512
Nsite.small[52],2.966481481,0.9326095507,2,5,1.000511824
Nsite.small[53],1.364074074,1.099062897,0,4,1.000702761
Nsite.small[54],1.69062963,1.180116472,0,4,1.000854757
Nsite.small[55],2.646037037,1.373884241,0,5,1.000091219
Nsite.small[56],2.941703704,0.9148786326,2,5,1.000287237
Nsite.small[57],1.761074074,1.195967285,0,4,1.000318733
Nsite.small[58],3.050666667,0.9657010614,2,5,1.000507975
Nsite.small[59],1.880037037,1.22682887,0,5,1.000779301
Nsite.small[60],4.153074074,1.011807488,3,6,1.000439766
Nsite.small[61],2.37537037,1.089067004,1,5,1.000958665
Nsite.small[62],2.305962963,1.296021257,0,5,1.000139654
Nsite.small[63],1.782814815,1.19337446,0,4,1.000229188
Nsite.small[64],2.686851852,1.393254564,0,6,1.000312656
Nsite.small[65],3.02762963,1.433196923,1,6,1.000378582
Nsite.small[66],1.802,1.211013633,0,4,1.000176364
Nsite.small[67],2.768111111,1.174710738,1,5,1.000883977
Nsite.small[68],4.168037037,1.027360361,3,6,1.000541796
Nsite.small[69],2.933333333,0.9234567261,2,5,1.000428162
Nsite.small[70],2.538111111,1.116211011,1,5,1.000249038
Nsite.small[71],1.738814815,1.19773794,0,4,1.000698722
Nsite.small[72],3.162592593,1.000800053,2,5,1.0004615
Nsite.small[73],2.744703704,1.192735189,1,5,1.000429576
Nsite.small[74],3.445074074,1.081660501,2,6,1.000301135
Nsite.small[75],1.849185185,1.211753404,0,4,1.00072384
Nsite.small[76],1.71162963,1.179518727,0,4,1.000345322
Nsite.small[77],2.431888889,1.124343559,1,5,1.000899673
Nsite.small[78],2.088148148,1.274766971,0,5,1.000391954
Nsite.small[79],3.442666667,1.124681237,2,6,1.000418702
Nsite.small[80],2.701555556,1.198186443,1,5,1.000052512
Nsite.small[81],2.313148148,1.059043139,1,5,1.000883057
Nsite.small[82],2.527888889,1.119660221,1,5,1.000836581
