FID;Index;ID;Sampling_s;Dist_city;Dist_road;Dist_water;Dist_wat_1;Dist_wat_2;Dist_humse;HDens_2km;HDens_500m;NDVImean_5;NDVImean_6;NDVImean_2;cattle_num;cattle_fre;effort_day;xcoord;ycoord;PA;survey_are;pa_type;year;Biome;CTmodel;CTnumber;CTcode;CTcode2;trail;trail_type;trail_ty_1;team;team2;team3;veg_field;cattle_fie;Prob_fogo
172;173;180;OCGB07;1,429665;-0,888089;-1,171264;0,053281;-1,020593;-0,637769;-0,346063;-0,171954;1,270718;0,131016;-0,479787;4,461732;4,684186;-0,312286;-44,859018;-14,653276;GB;GB;0;2017;Cer;trophycam;B131200040;B;A;1;carreiro;carreiro;other;MJ;MJ MSP;VER;Y;0,068704799
173;174;181;OCGB08;1,494984;-0,631406;-0,840824;-0,653188;-0,797187;-0,814114;3,05809;-0,039879;-0,546618;-0,503128;-0,360005;0,019801;0,010081;0,046886;-44,865233;-14,640181;GB;GB;0;2017;Cer;trophycam;B101028491;A;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,67484498
174;175;182;OCGB09;1,414913;-0,665128;-0,468742;-0,255675;-0,545628;-0,912227;3,223752;-0,112691;-1,185212;-1,014297;-0,860863;-0,276328;-0,270365;0,046886;-44,852573;-14,634405;GB;GB;0;2017;Cer;trophycam;B121001275;B;A;1;trail;estrada;other;MJ;MJ MSP;CER SS;Y;0,765322983
175;176;183;OCGB10;1,336658;-0,657002;0,367716;0,276856;0,019888;-0,842403;0,144862;0,668435;-0,802776;-1,019118;-0,818982;-0,276328;-0,270365;0,046886;-44,839872;-14,628178;GB;GB;0;2017;Cer;trophycam;B1210419XX;B;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,615790009
176;177;184;OCGB11;1,479516;-0,410053;-0,226336;-0,737188;-0,381741;-1,013434;4,512683;-0,147794;-0,432959;-0,880002;-0,50844;-0,202296;-0,200254;0,046886;-44,858219;-14,621432;GB;GB;0;2017;Cer;trophycam;B130904560;B;A;0;N;N;other;MJ;MJ MSP;CER SS;Y;0,777368009
177;178;186;OCGB13;1,190706;-0,967902;0,48785;1,300502;0,101109;-0,605072;0,017586;-0,171954;-0,555212;-0,540858;-0,585142;1,204316;1,158832;-0,024949;-44,821099;-14,634988;GB;GB;0;2017;Cer;trophycam;B101028490;A;A;0;N;N;other;MJ;MJ PH;VER;Y;0,594165027
178;179;187;OCGB14;1,122202;-1,122429;1,7921;1,355158;0,982893;-0,251432;-0,436975;-0,171954;-0,78419;-0,277775;-0,783865;-0,276328;-0,270365;-0,024949;-44,81486;-14,648163;GB;GB;0;2017;Cer;trophycam;B131200715;B;A;1;carreiro;carreiro;other;MJ;MJ PH;CER SS;Y;0,545741975
179;180;188;OCGB15;1,111153;-1,171628;0,727866;1,7625;0,26338;-0,475205;-0,436975;-0,171954;-0,550786;-0,850398;-0,569792;-0,276328;-0,270365;-0,024949;-44,808182;-14,629245;GB;GB;0;2017;Cer;agressor;B150801804;D;D;1;carreiro;carreiro;other;MJ;MJ PH;CER SS;Y;0,80271697
180;181;189;OCGB16;1,180389;-0,991233;-0,21018;1,132264;-0,370819;-0,757734;0,581241;-0,171954;-0,24499;-0,51772;-0,701986;-0,276328;-0,270365;-0,024949;-44,814208;-14,616783;GB;GB;0;2017;Cer;trophycam;B131000470;B;A;0;N;N;other;MJ;MJ PH;CER RALO/SS;Y;0,877870023
181;182;190;OCGB17;1,249635;-0,796085;-0,202733;0,42086;-0,365783;-0,909723;0,517602;-0,171954;-0,950291;-1,024431;-0,847287;-0,202296;-0,198905;-0,024949;-44,819951;-14,604222;GB;GB;0;2017;Cer;trophycam;B121000481;B;A;1;trail;trail;other;MJ;MJ PH;CER SS;Y;0,899138987
182;183;191;OCGB18;1,851089;0,242518;-1,255702;-1,347507;-1,07768;-0,566608;-0,436975;-0,171954;-1,579524;-0,574313;-0,305509;1,130284;1,087372;-0,024949;-44,908606;-14,613535;GB;GB;0;2017;Cer;trophycam;B120102X88;B;A;1;trail;trail;other;MJ;MJ PH;VER;Y;-9999
183;184;192;OCGB19;1,766433;0,158244;-1,001823;-1,19698;-0,906036;-0,784519;-0,118783;-0,171954;-0,409508;-0,230373;-0,294641;-0,276328;-0,270365;-0,024949;-44,895094;-14,60803;GB;GB;0;2017;Cer;trophycam;B130905345;B;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,77195102
